Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
// Localizations for the English, French and Polish version.
questRewardmeleeWpnClubT1BaseballBatBundle,items,Item,,,Baseball Bat Bundle,,,,Paquet batte de baseball,,,,Pakiet – kij baseballowy,,,,,
questRewardmeleeWpnClubT1BaseballBatBundleDesc,items,Item,,,A Baseball Bat.\n\nA great choice for those investing points into Strength Perks.,,,,Une batte de baseball.\n\nUn excellent choix pour quiconque investit des points dans les avantages de force.,,,,Kij baseballowy.\n\nŚwietny wybór dla graczy inwestujących punkty w profity siły.,,,,,
questRewardmeleeWpnBladeT1HuntingKnifeBundle,items,Item,,,Hunting Knife Bundle,,,,Paquet couteau de chasse,,,,Pakiet – nóż myśliwski,,,,,
questRewardmeleeWpnBladeT1HuntingKnifeBundleDesc,items,Item,,,A Hunting Knife.\n\nA great choice for those investing points into Agility Perks.,,,,Un couteau de chasse.\n\nUn excellent choix pour quiconque investit des points dans les avantages d'agilité.,,,,Nóż myśliwski.\n\nŚwietny wybór dla graczy inwestujących punkty w profity zwinności.,,,,,
,,,,,,,,,,,,,,,,,,
questRewardmeleeWpnKnucklesT1IronKnucklesBundle,items,Item,,,Iron Knuckles Bundle,,,,Paquet poing américain en fer,,,,Pakiet – żelazny kastet,,,,,
,,,,,,,,,,,,,,,,,,
questRewardmeleeWpnKnucklesT1IronKnucklesBundleDesc,items,Item,,,A pair of Iron Knuckles.\n\nA great choice for those investing points into Fortitude Perks.,,,,Poing américain en fer.\n\nUn excellent choix pour quiconque investit des points dans les avantages de courage.,,,,Żelazny kastet.\n\nŚwietny wybór dla graczy inwestujących punkty w profity hartu.,,,,,
questRewardmeleeWpnSpearT1IronSpearBundle,items,Item,,,Iron Spear Bundle,,,,Paquet lance en fer,,,,Pakiet – żelazna włócznia,,,,,
questRewardmeleeWpnSpearT1IronSpearBundleDesc,items,Item,,,An Iron Spear.\n\nA great choice for those investing points into Perception Perks.,,,,Une lance en fer.\n\nUn excellent choix pour quiconque investit des points dans les avantages de perception.,,,,Żelazna włócznia.\n\nŚwietny wybór dla graczy inwestujących punkty w profity percepcji.,,,,,
questRewardmeleeWpnSledgeT1IronSledgehammerBundle,items,Item,,,Iron Sledgehammer Bundle,,,,Paquet masse en fer,,,,Pakiet – żelazny młot rozbiórkowy,,,,,
questRewardmeleeWpnSledgeT1IronSledgehammerBundleDesc,items,Item,,,An Iron Sledgehammer.\n\nA great choice for those investing points into Strength Perks.,,,,Une masse en fer.\n\nUn excellent choix pour quiconque investit des points dans les avantages de force.,,,,Żelazny młot rozbiórkowy.\n\nŚwietny wybór dla graczy inwestujących punkty w profity siły.,,,,,
